# muB (MeV) nB (fm^-3) 	 eDens (MeV fm^-3) 	 p (MeV fm^-3) 	 quark fraction 	 u/nB 	 d/nB 	 e/nB 	 muon/nB 	 nu/nB 	 proton/nB 	 neutron/nB 	 proton_partner/nB 	 neutron_partner/nB
9.400000000000000000e+02	1.506000000000000047e-02	1.529800000000000049e+00	6.467200000000000205e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.475399999999999996e-03	0.000000000000000000e+00	0.000000000000000000e+00	2.475399999999999996e-03	9.975199999999999623e-01	0.000000000000000000e+00	0.000000000000000000e+00
9.500000000000000000e+02	6.962200000000000333e-02	5.183600000000000207e+00	4.647100000000000120e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.070200000000000165e-02	0.000000000000000000e+00	0.000000000000000000e+00	2.070200000000000165e-02	9.792999999999999483e-01	0.000000000000000000e+00	0.000000000000000000e+00
9.600000000000000000e+02	1.064999999999999974e-01	9.219500000000000028e+00	1.319299999999999917e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.402399999999999869e-02	0.000000000000000000e+00	0.000000000000000000e+00	3.402399999999999869e-02	9.659799999999999498e-01	0.000000000000000000e+00	0.000000000000000000e+00
9.700000000000000000e+02	1.381699999999999873e-01	1.327999999999999936e+01	2.479499999999999815e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.284500000000000114e-02	3.013000000000000053e-03	0.000000000000000000e+00	4.585800000000000293e-02	9.541399999999999881e-01	0.000000000000000000e+00	0.000000000000000000e+00
9.800000000000000000e+02	1.650300000000000100e-01	1.713899999999999935e+01	3.899999999999999911e+00	3.273799999999999996e-04	0.000000000000000000e+00	3.273799999999999996e-04	4.730100000000000277e-02	8.741000000000000505e-03	0.000000000000000000e+00	5.636900000000000244e-02	9.433000000000000274e-01	0.000000000000000000e+00	0.000000000000000000e+00
9.900000000000000000e+02	1.933400000000000118e-01	2.153600000000000136e+01	5.595299999999999940e+00	1.353999999999999995e-02	0.000000000000000000e+00	1.353999999999999995e-02	4.598599999999999910e-02	1.134600000000000018e-02	0.000000000000000000e+00	7.087300000000000544e-02	9.155900000000000150e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+03	2.174300000000000122e-01	2.548000000000000043e+01	7.579699999999999882e+00	2.677900000000000072e-02	0.000000000000000000e+00	2.677900000000000072e-02	4.304800000000000293e-02	1.188200000000000020e-02	0.000000000000000000e+00	8.170900000000000385e-02	8.915100000000000247e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.010000000000000000e+03	2.375299999999999911e-01	2.901399999999999935e+01	9.805099999999999483e+00	3.769000000000000128e-02	0.000000000000000000e+00	3.769000000000000128e-02	4.005899999999999739e-02	1.162900000000000045e-02	0.000000000000000000e+00	8.937900000000000011e-02	8.729299999999999837e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.020000000000000000e+03	2.549000000000000155e-01	3.230400000000000205e+01	1.223300000000000054e+01	4.688500000000000306e-02	0.000000000000000000e+00	4.688500000000000306e-02	3.726899999999999658e-02	1.105700000000000086e-02	0.000000000000000000e+00	9.521100000000000396e-02	8.578999999999999959e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.030000000000000000e+03	2.703400000000000247e-01	3.544800000000000040e+01	1.483500000000000085e+01	5.489299999999999735e-02	0.000000000000000000e+00	5.489299999999999735e-02	3.471300000000000080e-02	1.035600000000000062e-02	0.000000000000000000e+00	9.996299999999999630e-02	8.451400000000000023e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.040000000000000000e+03	2.843700000000000117e-01	3.850300000000000011e+01	1.759299999999999997e+01	6.205900000000000305e-02	0.000000000000000000e+00	6.205900000000000305e-02	3.237999999999999906e-02	9.615200000000000830e-03	0.000000000000000000e+00	1.040500000000000036e-01	8.338900000000000201e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.050000000000000000e+03	2.973299999999999832e-01	4.150500000000000256e+01	2.049299999999999855e+01	6.860700000000000132e-02	0.000000000000000000e+00	6.860700000000000132e-02	3.025100000000000011e-02	8.876800000000000662e-03	0.000000000000000000e+00	1.077300000000000063e-01	8.236599999999999477e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.060000000000000000e+03	3.094500000000000028e-01	4.447699999999999676e+01	2.352199999999999847e+01	7.468700000000000339e-02	0.000000000000000000e+00	7.468700000000000339e-02	2.830299999999999830e-02	8.162700000000000164e-03	0.000000000000000000e+00	1.111499999999999988e-01	8.141599999999999948e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.070000000000000000e+03	3.208799999999999986e-01	4.743299999999999983e+01	2.667299999999999827e+01	8.040200000000000125e-02	0.000000000000000000e+00	8.040200000000000125e-02	2.651600000000000137e-02	7.483499999999999701e-03	0.000000000000000000e+00	1.144000000000000017e-01	8.052000000000000268e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.080000000000000000e+03	3.317599999999999993e-01	5.038300000000000267e+01	2.993799999999999883e+01	8.582599999999999951e-02	0.000000000000000000e+00	8.582599999999999951e-02	2.487299999999999928e-02	6.843799999999999710e-03	0.000000000000000000e+00	1.175400000000000056e-01	7.966299999999999493e-01	0.000000000000000000e+00	0.000000000000000000e+00
