    muB (MeV)    nB (fm^-3)    p(MeV fm^-3)
    5.92755051e-03    2.48683542e-03    3.80207073e-03
    5.95604835e-03    2.52718836e-03    3.85584557e-03
    5.98454619e-03    2.56811126e-03    3.91259290e-03
    6.01304403e-03    2.60968961e-03    3.97204248e-03
    6.04154187e-03    2.65186641e-03    4.03473476e-03
    6.07003971e-03    2.69472716e-03    4.10093997e-03
    6.09853755e-03    2.73832885e-03    4.17119856e-03
    6.12703539e-03    2.78267149e-03    4.24551053e-03
    6.15553323e-03    2.82781207e-03    4.32495679e-03
    6.18403106e-03    2.87372209e-03    4.40953732e-03
    6.21252890e-03    2.92074352e-03    4.49979259e-03
    6.24102674e-03    2.96861989e-03    4.59680349e-03
    6.26952458e-03    3.01763617e-03    4.70111048e-03
    6.29802242e-03    3.06750739e-03    4.81325400e-03
    6.32652026e-03    3.11880350e-03    4.93404474e-03
    6.35501810e-03    3.17152450e-03    5.06375291e-03
    6.38351594e-03    3.22567040e-03    5.20156784e-03
    6.41201378e-03    3.28095621e-03    5.34397660e-03
    6.44051162e-03    3.33795188e-03    5.46746958e-03
    6.46900946e-03    3.39637245e-03    5.58150468e-03
    6.49750729e-03    3.45593294e-03    5.70175497e-03
    6.52600513e-03    3.51663333e-03    5.82876088e-03
    6.55450297e-03    3.57875862e-03    5.96333311e-03
    6.58300081e-03    3.64259378e-03    6.10709300e-03
    6.61149865e-03    3.70785383e-03    6.26085122e-03
    6.63999649e-03    3.77482376e-03    6.42649937e-03
    6.66849433e-03    3.84350355e-03    6.60619923e-03
    6.69699217e-03    3.91417819e-03    6.80211261e-03
    6.72549001e-03    3.98713266e-03    7.01694176e-03
    6.75398785e-03    4.06265193e-03    7.25176760e-03
    6.78248568e-03    4.14045103e-03    7.50118560e-03
    6.81098352e-03    4.22109991e-03    7.75303563e-03
    6.83948136e-03    4.30431360e-03    8.01488400e-03
    6.86797920e-03    4.39037708e-03    8.28456890e-03
    6.89647704e-03    4.47929034e-03    8.56073921e-03
    6.92497488e-03    4.57133836e-03    8.84285448e-03
    6.95347272e-03    4.66623616e-03    9.12929335e-03
    6.98197056e-03    4.76426873e-03    9.41248953e-03
    7.01046840e-03    4.86486610e-03    9.61732034e-03
    7.03896624e-03    4.96688836e-03    9.75540550e-03
    7.06746407e-03    5.07062049e-03    9.89457156e-03
    7.09596191e-03    5.17577752e-03    1.00353590e-02
    7.12445975e-03    5.28235944e-03    1.01769571e-02
    7.15295759e-03    5.39036625e-03    1.03199063e-02
    7.18145543e-03    5.49979795e-03    1.04642066e-02
    7.20995327e-03    5.61093952e-03    1.06098581e-02
    7.23845111e-03    5.72379096e-03    1.07565904e-02
    7.26694895e-03    5.83778232e-03    1.09044037e-02
    7.29544679e-03    5.95376853e-03    1.10535681e-02
    7.32394463e-03    6.07117962e-03    1.12040836e-02
    7.35244246e-03    6.19001561e-03    1.13559503e-02
    7.38094030e-03    6.31056147e-03    1.15088978e-02
    7.40943814e-03    6.43281720e-03    1.16631965e-02
    7.43793598e-03    6.55649782e-03    1.18185761e-02
    7.46643382e-03    6.68217329e-03    1.19755770e-02
    7.49493166e-03    6.80927365e-03    1.21336588e-02
    7.52342950e-03    6.93808389e-03    1.22930918e-02
    7.55192734e-03    7.06831901e-03    1.24538759e-02
    7.58042518e-03    7.20054898e-03    1.26157409e-02
    7.60892302e-03    7.33448883e-03    1.27792272e-02
    7.63742085e-03    7.47013854e-03    1.29437944e-02
    7.66591869e-03    7.60749812e-03    1.31097128e-02
    7.69441653e-03    7.74656758e-03    1.32769823e-02
    7.72291437e-03    7.88763188e-03    1.34456029e-02
    7.75141221e-03    8.03040605e-03    1.36155747e-02
    7.77991005e-03    8.17489010e-03    1.37866273e-02
    7.80840789e-03    8.32108401e-03    1.39593013e-02
    7.83690573e-03    8.46927278e-03    1.41333265e-02
    7.86540357e-03    8.61917141e-03    1.43087027e-02
    7.89390141e-03    8.77106489e-03    1.44851599e-02
    7.92239924e-03    8.92466824e-03    1.46632384e-02
    7.95089708e-03    9.08026644e-03    1.48426680e-02
    7.97939492e-03    9.23785949e-03    1.50234488e-02
    8.00789276e-03    9.39716241e-03    1.52055807e-02
